fid,id,x,y
1,0,-54.2995448688,48.8037839449
2,1,-52.7183999993,47.5969463282
3,2,-57.2838063966,48.4733649419
4,3,-52.8458557632,47.5138049995
5,4,-57.9279365336,49.5868950461
6,5,-58.5864207606,48.3974408692
7,6,-53.2411442676,47.767165824
8,7,-58.6821596474,48.1537987753
9,8,-54.7550767656,49.5296377672
10,9,-52.7203175806,47.5577777733
11,10,-53.2213698608,47.7406095431
12,11,-52.7075287262,47.5669187359
13,12,-52.7244938592,47.5893702401
14,13,-56.8024145858,49.8648352228
15,14,-53.299649139,47.407873928
16,15,-53.037015085,48.6344467543
17,16,-52.6872530463,47.5941394398
18,17,-53.0205632425,47.4846004807
19,18,-53.2445562128,47.6026432701
20,19,-53.5822967039,46.9214495226
21,20,-52.7539275979,47.7596865622
22,21,-53.2387066352,47.5409777529
23,22,-55.8431185101,47.053893511
24,23,-57.8914530867,48.9981717114
25,24,-57.9189440088,48.9858401905
26,25,-52.8633557006,47.5794205028
27,26,-52.7298275337,47.6570221021
28,27,-58.1802079621,48.849945222
29,28,-52.8317159062,47.6071676342
30,29,-55.6531598047,48.9602212702
31,30,-52.7144680189,47.5705591572
32,31,-52.7065785756,47.5925175637
33,32,-56.1822960331,49.9884673012
34,33,-52.7791445375,47.6361519694
35,34,-54.7113285406,49.4646528059
36,35,-53.6800991085,47.5170576677
37,36,-56.0297155502,48.9154723234
38,37,-52.9063022263,47.0963316785
39,38,-52.7928257088,47.5043802933
40,39,-57.5834566449,49.0185251382
41,40,-53.3087805112,47.8360229387
42,41,-57.8343979236,48.9510698734
43,42,-56.2108618565,48.7108384312
44,43,-58.0738520663,49.1181386157
45,44,-55.1982991427,47.095541476
46,45,-55.7579006282,47.1000119549
47,46,-58.4319021372,48.4546087626
48,47,-57.8789474899,49.5206874876
49,48,-52.7849722132,47.5246234103
50,49,-58.4023680038,48.5153998649
51,50,-56.8533994965,51.1184498674
52,51,-54.94704979,47.5263088197
53,52,-55.8963013863,47.905958003
54,53,-56.1003106315,52.7671034235
55,54,-53.2354305375,47.7405778875
56,55,-53.3251604294,47.4828388385
57,56,-55.15973053,47.1618770247
58,57,-57.9504230584,48.9515247298
59,58,-53.1072610911,48.6660111288
60,59,-52.7484651924,47.5245680523
61,60,-52.8460753229,47.628655497
62,61,-52.7214113008,47.5670285413
63,62,-52.9336077666,47.5236167677
64,63,-52.7054575774,47.5954908082
65,64,-55.5687224656,48.9238708187
66,65,-53.2125082654,47.5349567733
67,66,-55.212521692,47.6379308122
68,67,-54.0428947488,48.6704696358
69,68,-58.0129302104,48.9351274689
70,69,-57.9385387955,48.950899333
71,70,-53.2172775359,47.3587657345
72,71,-57.2757448967,49.1981115465
73,72,-55.6523412552,48.9347493839
74,73,-53.0361990264,48.543868106
75,74,-60.1411181232,53.5289388417
76,75,-55.8274907865,47.0704576271
77,76,-52.7137001424,47.5679412201
78,77,-53.3676349227,48.4519806092
79,78,-53.2781975224,47.647251062
80,79,-52.9430098691,46.9312033832
81,80,-66.9259331125,52.9452273672
82,81,-55.3191314131,49.2382695662
83,82,-53.2998856693,47.4018480913
84,83,-53.2410031667,47.9865850464
85,84,-54.1694157921,48.3592879081
86,85,-53.2564054948,48.0123662941
87,86,-52.9941868153,47.9976357393
88,87,-53.9862940459,48.3369896319
89,88,-55.5976474762,49.9631879318
90,89,-52.6870731835,47.6455028216
91,90,-58.1099576157,48.6392106812
92,91,-52.8558626337,47.5357794428
93,92,-53.0598349741,48.6615046287
94,93,-55.3543164917,49.1382932742
95,94,-58.5666723099,48.1594251306
96,95,-52.6961413477,47.5767296483
97,96,-55.5944134519,51.3723121238
98,97,-52.7998276026,47.4657397759
99,98,-55.3365138034,49.1246256148
100,99,-55.9601300355,48.8940470928
101,100,-55.6189749039,48.9486788829
102,101,-53.9737713313,48.1570416605
103,102,-55.8391159543,47.8839273862
104,103,-55.2085622435,47.1508401929
105,104,-52.6804072544,47.6088481958
106,105,-52.9842947844,47.5001430739
107,106,-52.7062578965,47.6235761869
108,107,-54.0300040967,48.6749937235
109,108,-58.7822375513,48.5453040901
110,109,-55.1960363425,47.1426896297
111,110,-60.4261172493,53.2937104213
112,111,-52.7430919914,47.7542660646
113,112,-58.6672451596,48.370540559
114,113,-52.8268097824,47.5215141417
115,114,-57.9114471437,49.5901793588
116,115,-66.9174505239,52.9362021048
117,116,-53.5189157912,46.9818450395
118,117,-53.0677857487,47.4705256822
119,118,-58.1648330564,48.6850458716
120,119,-52.701404501,47.5714705054
121,120,-58.5919283308,48.3992510861
122,121,-58.4848428045,48.4295559624
123,122,-55.6275978146,49.5106679115
124,123,-55.653605586,48.9266569942
125,124,-55.5694611702,47.8886321426
126,125,-55.6597597753,48.9335083161
127,126,-53.3484651661,48.3786267987
128,127,-53.2184417014,47.5257886178
129,128,-55.7147209558,49.5939811448
130,129,-52.7720215755,47.5267845445
131,130,-53.8915215613,48.3538184774
132,131,-55.7445255177,47.0963422119
133,132,-59.3780260378,47.9234947372
134,133,-55.7528505722,47.1024922327
135,134,-53.4728668191,47.7792028666
136,135,-54.2151939328,48.7997327248
137,136,-58.7523228457,48.554885351
138,137,-56.8234042772,49.8388562968
139,138,-55.8441294164,47.8684248657
140,139,-57.9768039108,48.9439955445
141,140,-58.5817753251,48.5493958594
142,141,-54.911110282,47.3541877101
143,142,-56.6133101796,48.6480092502
144,143,-53.3598943877,48.3691206914
145,144,-53.978259573,47.2534976874
146,145,-56.0760469531,49.396067449
147,146,-55.6718260316,46.8751432885
148,147,-53.75135335,48.3614771742
149,148,-56.2786030946,48.9585778708
150,149,-55.6734425416,48.9510053811
151,150,-53.2127841988,47.5350313384
152,151,-54.287675839,49.5792693765
153,152,-53.9844891862,47.7616009231
154,153,-60.3559684767,53.2817753266
155,154,-53.548291224,47.5344401046
156,155,-55.6540804902,48.9502369992
157,156,-52.9857025939,47.4992370101
158,157,-52.7111551519,47.5695494538
159,158,-54.7326127104,49.6465910916
160,159,-52.8354912052,47.5361773262
161,160,-58.4393476031,48.5044671741
162,161,-66.869021523,52.9055226193
163,162,-57.9261527969,48.9581604937
164,163,-52.8772577042,47.5423003148
165,164,-56.832988143,51.5256229395
166,165,-52.9259235614,47.5100089935
167,166,-54.0153169606,48.1804886025
168,167,-53.0922571571,47.8594502727
169,168,-53.9600451501,47.2460718465
170,169,-56.7085055024,51.5951858961
171,170,-57.9315054052,48.9620360503
172,171,-60.1380031769,53.525576485
173,172,-52.867068961,47.5099781277
174,173,-55.5537813117,49.0937140782
175,174,-52.6792563046,47.5816389055
176,175,-53.1992099484,47.4132158237
177,176,-53.3961945899,47.8316576744
178,177,-53.3064133293,47.5909733962
179,178,-60.3922053715,53.3191854783
180,179,-59.2073526136,48.4787731193
181,180,-55.7575145901,47.1000578433
182,181,-56.928163602,51.4849678901
183,182,-57.8844821541,49.5210334413
184,183,-55.5862676327,51.363138016
185,184,-54.5333890486,49.5411905303
186,185,-56.7744924699,51.2364136849
187,186,-58.4337458817,48.4555516691
188,187,-52.9447800316,47.5269650643
189,188,-57.5732891058,49.2263042866
190,189,-53.9113242021,47.2692741307
191,190,-56.0265652543,51.1761641006
192,191,-52.7215267608,47.629141746
193,192,-54.9054979475,48.732938506
194,193,-58.0796282834,49.1287405671
195,194,-57.7409508041,48.9364039636
196,195,-53.2676044872,47.5919052173
197,196,-55.3446913171,49.1401467401
198,197,-52.7260298084,47.6359384115
199,198,-52.789375881,47.5002964341
200,199,-53.7220643471,48.0133248781
201,200,-53.8678223463,47.2904354141
202,201,-53.968294305,47.2283665769
203,202,-60.4110632076,53.301205185
204,203,-57.3809588598,49.3061483732
205,204,-52.734793386,47.5940124649
206,205,-53.2720374451,47.5868493999
207,206,-52.7216993696,47.6584281592
208,207,-53.9778351084,47.8476438432
209,208,-58.1102747387,49.4762917342
210,209,-52.7111426531,47.5591599075
211,210,-59.1690682509,47.5876288495
212,211,-57.9541499257,48.9508241755
213,212,-55.211087664,47.0917828806
214,213,-54.8023790571,49.5911715828
215,214,-57.9204731596,48.9501722676
216,215,-56.1588711769,49.1394112809
217,216,-53.0368333523,48.5405159716
218,217,-57.9610725321,48.9113804668
219,218,-53.0099058998,48.0793012802
220,219,-53.2789514228,47.6249504881
221,220,-55.5793741048,51.3570332485
222,221,-52.8135860869,47.4902547391
223,222,-52.7199920391,47.6597635996
224,223,-52.6888445681,47.5949679462
225,224,-54.7298179448,48.7749882957
226,225,-57.6272039345,49.0149779706
227,226,-52.7085936503,47.5629053835
228,227,-53.2150067301,47.6936904881
229,228,-53.3263490561,47.9512303334
230,229,-53.3317903689,47.228625665
231,230,-52.9330638741,47.0978749813
232,231,-53.2357483561,47.3592678297
233,232,-55.2000195906,47.0943119272
234,233,-53.3506203235,48.5862796017
235,234,-58.5365281506,48.5545339979
236,235,-53.1114421479,48.6504713812
237,236,-56.5961730717,48.6867291507
238,237,-58.9040327352,48.1391711043
239,238,-60.6594378623,53.3216270923
240,239,-55.8195815553,47.0722439541
241,240,-55.3691158229,46.9092672564
242,241,-54.8714186343,49.5532754295
243,242,-53.2937771186,47.481148745
244,243,-56.1298027558,50.1271629493
245,244,-53.0919851076,47.8448440851
246,245,-57.5989604197,49.0102158863
247,246,-53.3861701842,47.8104008388
248,247,-59.010869848,48.038484913
249,248,-53.0721961308,47.9320311899
250,249,-55.3458135169,49.1401700966
251,250,-58.2540830518,48.489118469
252,251,-53.1605839368,47.3872811623
253,252,-52.8401738375,47.5338251051
254,253,-53.0286427823,47.4939916273
255,254,-52.9990263687,47.4914323308
256,255,-58.3203985254,48.8142624707
257,256,-55.8260595946,47.0726919618
258,257,-52.8742493832,47.5413133886
259,258,-55.8356545468,47.8624404554
260,259,-52.7003446303,47.6131719469
261,260,-52.8354959036,47.5352281729
262,261,-66.9210304681,52.9406427768
263,262,-53.2808206086,47.5384502019
264,263,-56.9187175178,49.7490043903
265,264,-53.9608379851,47.2472129945
266,265,-53.3257769365,47.5340972558
267,266,-52.7990481385,47.5293136298
268,267,-53.8533214169,47.3073553556
269,268,-52.7126064779,47.5725298348
270,269,-52.9634023272,47.6384537609
271,270,-55.1960925051,47.0269457524
272,271,-53.088964052,47.8851901449
273,272,-58.8653485884,48.210926235
274,273,-57.9431213769,48.9338124042
